Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
Borough of Baldwin Police Dept.,3344 Churchview Avenue,Pittsburgh,PA,15227,Allegheny,(412)882-9600,,"3344 Churchview Avenue
Pittsburgh, PA 15227
(40.3834, -79.95656)",POINT (-79.956936 40.383409),40.383409,-79.956936,Chief Michael A. Scott,Yes,,Active
Upper Makefield Twp Police,1076 Eagle Road,Newtown,PA,18940,Bucks,(215)968-3020,M-F 8:30-4:30,"1076 Eagle Road
Newtown, PA 18940
(40.28799, -74.93942)",POINT (-74.9374699 40.2877123),40.2877123,-74.9374699,,No,Operational,Active
State Police-Troop H / Newport,155 Red Hill Rd.,Newport,PA,17074,Perry,,,"155 Red Hill Rd.
Newport, PA 17074
(40.49713, -77.10542)",POINT (-77.105204 40.497817),40.497817,-77.105204,,No,,Active
Wellsboro Borough Police Station,28 Crafton St,Wellsboro,PA,16901,Tioga,5707244400,,"28 Crafton St
Wellsboro, PA 16901
(41.74732, -77.30013)",POINT (-77.300322 41.747177),41.747177,-77.300322,,No,Operational,Active
Lititz Borough Police,7 South Broad Street,Lititz,PA,17543-1401,Lancaster,(717)626-6393,M-F 8am-4:30pm.,"7 South Broad Street
Lititz, PA 17543-1401
(40.15673, -76.30728)",POINT (-76.3071033 40.1567259),40.1567259,-76.3071033,Chief William Seace,Yes,Operational,Active
Beaver County Courthouse,810 Third Street,Beaver,PA,15009,Beaver,(724)770-4615,,"810 Third Street
Beaver, PA 15009
(40.69448, -80.30793)",POINT (-80.308522 40.694738),40.694738,-80.308522,Sheriff Tony Guy,Yes,,Active
York Area Police Department,33 Oak Street,York,PA,17402,York,(717)741-1259,Open Monday through Friday from 8AM to 5PM,"33 Oak Street
York, PA 17402
(39.92061, -76.68268)",POINT (-76.6824927 39.9208339),39.9208339,-76.6824927,,No,Operational,Active
Edinboro Borough Police Department,124 Meadville St,Edinboro,PA,16412,Erie,(814)734-1712,24 hours a day/ 7 days a week,"124 Meadville St
Edinboro, PA 16412
(41.87337, -80.13194)",POINT (-80.1316659 41.8733483),41.8733483,-80.1316659,,No,Operational,Active
Falls Township Police Department,188 Lincoln Hwy,Fairless Hills,PA,19030,Bucks,,,"188 Lincoln Hwy
Fairless Hills, PA 19030
(40.18303, -74.8597)",POINT (-74.870102 40.18087),40.18087,-74.870102,(215) 949-9100,No,,Active
Geisinger Shamokin Area Community Hospital,4200 Hospital Road,Coal Township,PA,17866,Northumberland,,,"4200 Hospital Road
Coal Township, PA 17866
(40.8062, -76.57005)",POINT (-76.570607 40.805741),40.805741,-76.570607,,No,Pharmacy,Active
Pequea Township Municipal Office,"1028 Millwood Road, Willow St, PA 17584",Lancaster,PA,17584,Lancaster,717-464-2322,,"1028 Millwood Road, Willow St, PA 17584
Lancaster, PA 17584
(39.96273, -76.28952)",POINT (-76.2888069 39.9626845),39.9626845,-76.2888069,,No,,Active
Luzerne County District Attorney's Office,200 North River Street,Wilkes-Barre,PA,18711,Luzerne,(570)825-1674,M-F 9am-4:30pm.,"200 North River Street
Wilkes-Barre, PA 18711
(41.25131, -75.8784)",POINT (-75.8782007 41.2514211),41.2514211,-75.8782007,Det. James Noone,Yes,Operational,Active
Birdsboro Police Department,200 East Main Street,Birdsboro,PA,19508,Berks,(610)582-6037,Monday to Friday 8:30am – 4:30pm,"200 East Main Street
Birdsboro, PA 19508
(40.26639, -75.80696)",POINT (-75.8065867 40.2659535),40.2659535,-75.8065867,Chief Theodore R Roth,No,Operational,Active
Beaver Falls Police Department,715 15th St,Beaver Falls,PA,15010,Beaver,(724)846-7004,,"715 15th St
Beaver Falls, PA 15010
(40.75596, -80.32002)",POINT (-80.320303 40.755729),40.755729,-80.320303,Charles Jones,No,Operational,Active
South Strabane Police Dept.,550 Washington Road,Washington,PA,15301,Washington,(724)225-8111,M-F 8-4:30,"550 Washington Road
Washington, PA 15301
(40.19093, -80.21186)",POINT (-80.2574079 40.2491507),40.2491507,-80.2574079,Chief D.M. Zofchak,Yes,Operational,Active
Darby Township Police Department,2 Studevan Plaza,Sharon Hill,PA,19079,Delaware,(610)583-3245,M-F 8:30-4,"2 Studevan Plaza
Sharon Hill, PA 19079
(39.89733, -75.26552)",POINT (-75.2624898 39.9042159),39.9042159,-75.2624898,,No,Operational,Active
Kittanning Borough Police Station,300 S. McKean Street,Kittanning,PA,16201,Armstrong,(724) 543-1538,24 hours/7 days a week,"300 S. McKean Street
Kittanning, PA 16201
(40.81199, -79.51529)",POINT (-79.515395 40.812099),40.812099,-79.515395,Chief Bruce Matthews,No,Operational,Active
Borough of Green Tree Police Dept.,10 West Manilla Avenue,Pittsburgh,PA,15220,Allegheny,(412)921-8624,,"10 West Manilla Avenue
Pittsburgh, PA 15220
(40.41848, -80.04693)",POINT (-80.047023 40.418767),40.418767,-80.047023,Chief Colin Cleary,Yes,,Active
State Police-Troop N / Lehighton,9170 Interchange Rd.,Lehighton,PA,18235,Carbon,,,"9170 Interchange Rd.
Lehighton, PA 18235
(40.87774, -75.545)",POINT (-75.544835 40.87731),40.87731,-75.544835,,No,,Active
Annville Twp Police Department,36 North Lancaster Street,Annville,PA,17003,Lebanon,717-867-2711,M-F    9:00 – 3:00,"36 North Lancaster Street
Annville, PA 17003
(40.32984, -76.51747)",POINT (-76.517264 40.329871),40.329871,-76.517264,,No,,Active
Philadelphia Police Dept.-12th Police District,65th & Woodland Avenues,Philadelphia,PA,19142,Philadelphia,(215)686-3120,,"65th & Woodland Avenues
Philadelphia, PA 19142
(39.89876, -75.28623)",POINT (-75.234329 39.925571),39.925571,-75.234329,Capt. John Moroney,Yes,Operational,Active
CVS #1376,1201 N. FIFTH ST.,PERKASIE,PA,18944,"BUCKS,PA",2152572680,Follows Pharmacy Hours of Operation,"1201 N. FIFTH ST.
PERKASIE, PA 18944
(40.38328, -75.27612)",POINT (-75.276434 40.383081),40.383081,-75.276434,,No,Pharmacy,Active
State Police-Troop M / Belfast,654 Bangor Rd.,Nazareth,PA,18064,Northampton,,,"654 Bangor Rd.
Nazareth, PA 18064
(40.7739, -75.26963)",POINT (-75.269556 40.774015),40.774015,-75.269556,,No,,Active
Upper Perkiomen Police Dept.,88 West 6th Street,Pennsburg,PA,18073,Montgomery,(215)679-4131,M-F 8am-4:30pm.,"88 West 6th Street
Pennsburg, PA 18073
(40.39387, -75.49593)",POINT (-75.4958721 40.3940708),40.3940708,-75.4958721,Chief Michael Devlin,Yes,Operational,Active
Indiana Township Police Dept.,3710 Saxonburg Boulevard,Pittsburgh,PA,15238,Allegheny,(412)767-5333,,"3710 Saxonburg Boulevard
Pittsburgh, PA 15238
(40.57499, -79.88888)",POINT (-79.888633 40.57483),40.57483,-79.888633,Chief Robert Wilson,Yes,Operational,Active
